dataset;queryId;window;relation;ts;selectivity;query_time
nyc;2;50;meets;num_bikes_disabled;5626;364
nyc;2;70;meets;num_bikes_disabled;5626;337
nyc;2;30;meets;num_ebikes_available;5626;3025
nyc;2;50;meets;num_ebikes_available;5626;2947
nyc;2;70;meets;num_ebikes_available;5626;2684
nyc;2;30;equal;num_bikes_available;5626;3760
nyc;2;50;equal;num_bikes_available;5626;3542
nyc;2;70;equal;num_bikes_available;5626;3317
nyc;2;30;equal;num_docks_disabled;5626;24
nyc;2;50;equal;num_docks_disabled;5626;24
nyc;2;70;equal;num_docks_disabled;5626;23
nyc;2;30;equal;num_bikes_disabled;5626;453
nyc;2;50;equal;num_bikes_disabled;5626;438
nyc;2;70;equal;num_bikes_disabled;5626;361
nyc;2;30;equal;num_ebikes_available;5626;3674
nyc;2;50;equal;num_ebikes_available;5626;3527
nyc;2;70;equal;num_ebikes_available;5626;3291
nyc;3;30;overlaps;num_bikes_available;4140;18068
nyc;3;50;overlaps;num_bikes_available;4140;32737
nyc;3;70;overlaps;num_bikes_available;4140;50957
nyc;3;30;overlaps;num_docks_disabled;4140;32
nyc;3;50;overlaps;num_docks_disabled;4140;26
nyc;3;70;overlaps;num_docks_disabled;4140;24
nyc;3;30;overlaps;num_bikes_disabled;4140;4059
nyc;3;50;overlaps;num_bikes_disabled;4140;5508
nyc;3;70;overlaps;num_bikes_disabled;4140;5351
nyc;3;30;overlaps;num_ebikes_available;4140;17257
nyc;3;50;overlaps;num_ebikes_available;4140;32574
nyc;3;70;overlaps;num_ebikes_available;4140;51250
nyc;3;30;before;num_bikes_available;4140;64995
nyc;3;50;before;num_bikes_available;4140;72082
nyc;3;70;before;num_bikes_available;4140;76634
nyc;3;30;before;num_docks_disabled;4140;26
nyc;3;50;before;num_docks_disabled;4140;24
nyc;3;70;before;num_docks_disabled;4140;24
nyc;3;30;before;num_bikes_disabled;4140;3228
nyc;3;50;before;num_bikes_disabled;4140;2035
nyc;3;70;before;num_bikes_disabled;4140;1304
nyc;3;30;before;num_ebikes_available;4140;62193
nyc;3;50;before;num_ebikes_available;4140;72987
nyc;3;70;before;num_ebikes_available;4140;79369
nyc;3;30;meets;num_bikes_available;4140;3039
nyc;3;50;meets;num_bikes_available;4140;2915
nyc;3;70;meets;num_bikes_available;4140;2674
nyc;3;30;meets;num_docks_disabled;4140;24
nyc;3;50;meets;num_docks_disabled;4140;24
nyc;3;70;meets;num_docks_disabled;4140;24
nyc;3;30;meets;num_bikes_disabled;4140;434
nyc;3;50;meets;num_bikes_disabled;4140;389
nyc;3;70;meets;num_bikes_disabled;4140;386
nyc;3;30;meets;num_ebikes_available;4140;2978
nyc;3;50;meets;num_ebikes_available;4140;2867
nyc;3;70;meets;num_ebikes_available;4140;2673
nyc;3;30;equal;num_bikes_available;4140;3724
nyc;3;50;equal;num_bikes_available;4140;3506
nyc;3;70;equal;num_bikes_available;4140;3309
nyc;3;30;equal;num_docks_disabled;4140;25
nyc;3;50;equal;num_docks_disabled;4140;25
nyc;3;70;equal;num_docks_disabled;4140;24
nyc;3;30;equal;num_bikes_disabled;4140;489
nyc;3;50;equal;num_bikes_disabled;4140;421
nyc;3;70;equal;num_bikes_disabled;4140;380
nyc;3;30;equal;num_ebikes_available;4140;3632
nyc;3;50;equal;num_ebikes_available;4140;3425
